SourceIP,DestinationIP,SourcePort,DestinationPort,TimeStamp,Duration,FlowBytesSent,FlowSentRate,FlowBytesReceived,FlowReceivedRate,PacketLengthVariance,PacketLengthStandardDeviation,PacketLengthMean,PacketLengthMedian,PacketLengthMode,PacketLengthSkewFromMedian,PacketLengthSkewFromMode,PacketLengthCoefficientofVariation,PacketTimeVariance,PacketTimeStandardDeviation,PacketTimeMean,PacketTimeMedian,PacketTimeMode,PacketTimeSkewFromMedian,PacketTimeSkewFromMode,PacketTimeCoefficientofVariation,ResponseTimeTimeVariance,ResponseTimeTimeStandardDeviation,ResponseTimeTimeMean,ResponseTimeTimeMedian,ResponseTimeTimeMode,ResponseTimeTimeSkewFromMedian,ResponseTimeTimeSkewFromMode,ResponseTimeTimeCoefficientofVariation
31.13.80.53,192.168.250.79,443,45905,2024-03-24 22:32:00.852765184,3.915488,17339,4428.3113624661855,13091,3343.389125442346,139068.91187122735,372.91944421178596,244.2112676056338,127.0,54,2.618949081147498,2.618949081147498,1.527036192343088,0.0001986229852430231,0.014093366710726826,0.0075105747706453565,0.0020051002502441406,0.0,3.1676809093680545,3.1676809093680545,1.8764697964009263,0.00022269865645338838,0.014923091383938797,0.007712602615356445,0.0021070241928100586,0.0,3.1305112982812067,3.1305112982812067,1.9348969638634899
192.168.250.79,31.13.80.53,45905,443,2024-03-24 22:32:00.852893184,3.873137,11958,3087.419835652599,10110,2610.287216796101,22368.37911392406,149.56062019771133,149.475,126.0,54,3.2324400087928717,3.2324400087928717,1.000572806139564,0.002126064328791834,0.046109265107913334,0.0094977468252182,8.952617645263672e-05,3.0040740966796875e-05,7.7931461320273625,7.7931461320273625,4.854758287037623,0.0024223867990645514,0.04921774882158418,0.010670665332249233,8.058547973632812e-05,3.0040740966796875e-05,7.2906871070219905,7.2906871070219905,4.612434865971918
192.168.250.79,31.13.80.53,45905,443,2024-03-24 22:32:00.856272896,3.873137,11958,3087.419835652599,10110,2610.287216796101,22368.37911392406,149.56062019771133,149.475,126.0,54,3.2324400087928717,3.2324400087928717,1.000572806139564,0.002126064328791834,0.046109265107913334,0.0094977468252182,8.952617645263672e-05,3.0040740966796875e-05,7.7931461320273625,7.7931461320273625,4.854758287037623,0.0024223867990645514,0.04921774882158418,0.010670665332249233,8.058547973632812e-05,3.0040740966796875e-05,7.2906871070219905,7.2906871070219905,4.612434865971918
31.13.80.53,192.168.250.79,443,45905,2024-03-24 22:32:00.877969152,3.915488,17339,4428.3113624661855,13091,3343.389125442346,139068.91187122735,372.91944421178596,244.2112676056338,127.0,54,2.618949081147498,2.618949081147498,1.527036192343088,0.0001986229852430231,0.014093366710726826,0.0075105747706453565,0.0020051002502441406,0.0,3.1676809093680545,3.1676809093680545,1.8764697964009263,0.00022269865645338838,0.014923091383938797,0.007712602615356445,0.0021070241928100586,0.0,3.1305112982812067,3.1305112982812067,1.9348969638634899
31.13.80.53,192.168.250.79,443,45905,2024-03-24 22:32:00.878359040,3.915488,17339,4428.3113624661855,13091,3343.389125442346,139068.91187122735,372.91944421178596,244.2112676056338,127.0,54,2.618949081147498,2.618949081147498,1.527036192343088,0.0001986229852430231,0.014093366710726826,0.0075105747706453565,0.0020051002502441406,0.0,3.1676809093680545,3.1676809093680545,1.8764697964009263,0.00022269865645338838,0.014923091383938797,0.007712602615356445,0.0021070241928100586,0.0,3.1305112982812067,3.1305112982812067,1.9348969638634899
192.168.250.79,31.13.80.53,45905,443,2024-03-24 22:32:00.879208960,3.873137,11958,3087.419835652599,10110,2610.287216796101,22368.37911392406,149.56062019771133,149.475,126.0,54,3.2324400087928717,3.2324400087928717,1.000572806139564,0.002126064328791834,0.046109265107913334,0.0094977468252182,8.952617645263672e-05,3.0040740966796875e-05,7.7931461320273625,7.7931461320273625,4.854758287037623,0.0024223867990645514,0.04921774882158418,0.010670665332249233,8.058547973632812e-05,3.0040740966796875e-05,7.2906871070219905,7.2906871070219905,4.612434865971918
192.168.250.79,31.13.80.53,45905,443,2024-03-24 22:32:00.879347200,3.873137,11958,3087.419835652599,10110,2610.287216796101,22368.37911392406,149.56062019771133,149.475,126.0,54,3.2324400087928717,3.2324400087928717,1.000572806139564,0.002126064328791834,0.046109265107913334,0.0094977468252182,8.952617645263672e-05,3.0040740966796875e-05,7.7931461320273625,7.7931461320273625,4.854758287037623,0.0024223867990645514,0.04921774882158418,0.010670665332249233,8.058547973632812e-05,3.0040740966796875e-05,7.2906871070219905,7.2906871070219905,4.612434865971918
31.13.80.53,192.168.250.79,443,45905,2024-03-24 22:32:00.898333952,3.915488,17339,4428.3113624661855,13091,3343.389125442346,139068.91187122735,372.91944421178596,244.2112676056338,127.0,54,2.618949081147498,2.618949081147498,1.527036192343088,0.0001986229852430231,0.014093366710726826,0.0075105747706453565,0.0020051002502441406,0.0,3.1676809093680545,3.1676809093680545,1.8764697964009263,0.00022269865645338838,0.014923091383938797,0.007712602615356445,0.0021070241928100586,0.0,3.1305112982812067,3.1305112982812067,1.9348969638634899
192.168.250.79,216.211.9.200,45346,443,2024-03-24 22:32:00.901096960,15.077788,8352,553.9274063277717,8352,553.9274063277717,53224.729776247856,230.7048542537583,99.42857142857143,54.0,54,5.702887346010511,5.702887346010511,2.3203074422073393,0.006999771131959246,0.08366463489407723,0.00939497777393886,0.0002340078353881836,0.0,9.164950198880398,9.164950198880398,8.905250965697675,0.006999771131959246,0.08366463489407723,0.00939497777393886,0.0002340078353881836,0.0,9.164950198880398,9.164950198880398,8.905250965697675
192.168.250.79,216.211.9.200,45346,443,2024-03-24 22:32:00.901096960,15.077788,8352,553.9274063277717,8352,553.9274063277717,53224.729776247856,230.7048542537583,99.42857142857143,54.0,54,5.702887346010511,5.702887346010511,2.3203074422073393,0.006999771131959246,0.08366463489407723,0.00939497777393886,0.0002340078353881836,0.0,9.164950198880398,9.164950198880398,8.905250965697675,0.006999771131959246,0.08366463489407723,0.00939497777393886,0.0002340078353881836,0.0,9.164950198880398,9.164950198880398,8.905250965697675
192.168.250.79,216.211.9.200,45346,443,2024-03-24 22:32:00.901190912,15.077788,8352,553.9274063277717,8352,553.9274063277717,53224.729776247856,230.7048542537583,99.42857142857143,54.0,54,5.702887346010511,5.702887346010511,2.3203074422073393,0.006999771131959246,0.08366463489407723,0.00939497777393886,0.0002340078353881836,0.0,9.164950198880398,9.164950198880398,8.905250965697675,0.006999771131959246,0.08366463489407723,0.00939497777393886,0.0002340078353881836,0.0,9.164950198880398,9.164950198880398,8.905250965697675
216.211.9.200,192.168.250.79,443,45346,2024-03-24 22:32:00.911436032,15.066955,2221718,147456.3373953131,2221718,147456.3373953131,27941.565508327796,167.15730767252683,1480.1585609593603,1506.0,1506,-6.504083020533081,-6.504083020533081,0.11293202774450348,2.828875271625994e-06,0.0016819260600947933,0.0001644741924979701,0.0,0.0,18.340444498242256,18.340444498242256,10.226078842828496,2.828875271625994e-06,0.0016819260600947933,0.0001644741924979701,0.0,0.0,18.340444498242256,18.340444498242256,10.226078842828496
216.211.9.200,192.168.250.79,443,45346,2024-03-24 22:32:00.916115968,15.066955,2221718,147456.3373953131,2221718,147456.3373953131,27941.565508327796,167.15730767252683,1480.1585609593603,1506.0,1506,-6.504083020533081,-6.504083020533081,0.11293202774450348,2.828875271625994e-06,0.0016819260600947933,0.0001644741924979701,0.0,0.0,18.340444498242256,18.340444498242256,10.226078842828496,2.828875271625994e-06,0.0016819260600947933,0.0001644741924979701,0.0,0.0,18.340444498242256,18.340444498242256,10.226078842828496
216.211.9.200,192.168.250.79,443,45346,2024-03-24 22:32:00.932584960,15.066955,2221718,147456.3373953131,2221718,147456.3373953131,27941.565508327796,167.15730767252683,1480.1585609593603,1506.0,1506,-6.504083020533081,-6.504083020533081,0.11293202774450348,2.828875271625994e-06,0.0016819260600947933,0.0001644741924979701,0.0,0.0,18.340444498242256,18.340444498242256,10.226078842828496,2.828875271625994e-06,0.0016819260600947933,0.0001644741924979701,0.0,0.0,18.340444498242256,18.340444498242256,10.226078842828496
216.211.9.200,192.168.250.79,443,45346,2024-03-24 22:32:00.932584960,15.066955,2221718,147456.3373953131,2221718,147456.3373953131,27941.565508327796,167.15730767252683,1480.1585609593603,1506.0,1506,-6.504083020533081,-6.504083020533081,0.11293202774450348,2.828875271625994e-06,0.0016819260600947933,0.0001644741924979701,0.0,0.0,18.340444498242256,18.340444498242256,10.226078842828496,2.828875271625994e-06,0.0016819260600947933,0.0001644741924979701,0.0,0.0,18.340444498242256,18.340444498242256,10.226078842828496
216.211.9.200,192.168.250.79,443,45346,2024-03-24 22:32:00.932584960,15.066955,2221718,147456.3373953131,2221718,147456.3373953131,27941.565508327796,167.15730767252683,1480.1585609593603,1506.0,1506,-6.504083020533081,-6.504083020533081,0.11293202774450348,2.828875271625994e-06,0.0016819260600947933,0.0001644741924979701,0.0,0.0,18.340444498242256,18.340444498242256,10.226078842828496,2.828875271625994e-06,0.0016819260600947933,0.0001644741924979701,0.0,0.0,18.340444498242256,18.340444498242256,10.226078842828496
216.211.9.200,192.168.250.79,443,45346,2024-03-24 22:32:00.932584960,15.066955,2221718,147456.3373953131,2221718,147456.3373953131,27941.565508327796,167.15730767252683,1480.1585609593603,1506.0,1506,-6.504083020533081,-6.504083020533081,0.11293202774450348,2.828875271625994e-06,0.0016819260600947933,0.0001644741924979701,0.0,0.0,18.340444498242256,18.340444498242256,10.226078842828496,2.828875271625994e-06,0.0016819260600947933,0.0001644741924979701,0.0,0.0,18.340444498242256,18.340444498242256,10.226078842828496
216.211.9.200,192.168.250.79,443,45346,2024-03-24 22:32:00.932584960,15.066955,2221718,147456.3373953131,2221718,147456.3373953131,27941.565508327796,167.15730767252683,1480.1585609593603,1506.0,1506,-6.504083020533081,-6.504083020533081,0.11293202774450348,2.828875271625994e-06,0.0016819260600947933,0.0001644741924979701,0.0,0.0,18.340444498242256,18.340444498242256,10.226078842828496,2.828875271625994e-06,0.0016819260600947933,0.0001644741924979701,0.0,0.0,18.340444498242256,18.340444498242256,10.226078842828496
216.211.9.200,192.168.250.79,443,45346,2024-03-24 22:32:00.932584960,15.066955,2221718,147456.3373953131,2221718,147456.3373953131,27941.565508327796,167.15730767252683,1480.1585609593603,1506.0,1506,-6.504083020533081,-6.504083020533081,0.11293202774450348,2.828875271625994e-06,0.0016819260600947933,0.0001644741924979701,0.0,0.0,18.340444498242256,18.340444498242256,10.226078842828496,2.828875271625994e-06,0.0016819260600947933,0.0001644741924979701,0.0,0.0,18.340444498242256,18.340444498242256,10.226078842828496
216.211.9.200,192.168.250.79,443,45346,2024-03-24 22:32:00.932584960,15.066955,2221718,147456.3373953131,2221718,147456.3373953131,27941.565508327796,167.15730767252683,1480.1585609593603,1506.0,1506,-6.504083020533081,-6.504083020533081,0.11293202774450348,2.828875271625994e-06,0.0016819260600947933,0.0001644741924979701,0.0,0.0,18.340444498242256,18.340444498242256,10.226078842828496,2.828875271625994e-06,0.0016819260600947933,0.0001644741924979701,0.0,0.0,18.340444498242256,18.340444498242256,10.226078842828496
216.211.9.200,192.168.250.79,443,45346,2024-03-24 22:32:00.932584960,15.066955,2221718,147456.3373953131,2221718,147456.3373953131,27941.565508327796,167.15730767252683,1480.1585609593603,1506.0,1506,-6.504083020533081,-6.504083020533081,0.11293202774450348,2.828875271625994e-06,0.0016819260600947933,0.0001644741924979701,0.0,0.0,18.340444498242256,18.340444498242256,10.226078842828496,2.828875271625994e-06,0.0016819260600947933,0.0001644741924979701,0.0,0.0,18.340444498242256,18.340444498242256,10.226078842828496
216.211.9.200,192.168.250.79,443,45346,2024-03-24 22:32:00.932584960,15.066955,2221718,147456.3373953131,2221718,147456.3373953131,27941.565508327796,167.15730767252683,1480.1585609593603,1506.0,1506,-6.504083020533081,-6.504083020533081,0.11293202774450348,2.828875271625994e-06,0.0016819260600947933,0.0001644741924979701,0.0,0.0,18.340444498242256,18.340444498242256,10.226078842828496,2.828875271625994e-06,0.0016819260600947933,0.0001644741924979701,0.0,0.0,18.340444498242256,18.340444498242256,10.226078842828496
216.211.9.200,192.168.250.79,443,45346,2024-03-24 22:32:00.932584960,15.066955,2221718,147456.3373953131,2221718,147456.3373953131,27941.565508327796,167.15730767252683,1480.1585609593603,1506.0,1506,-6.504083020533081,-6.504083020533081,0.11293202774450348,2.828875271625994e-06,0.0016819260600947933,0.0001644741924979701,0.0,0.0,18.340444498242256,18.340444498242256,10.226078842828496,2.828875271625994e-06,0.0016819260600947933,0.0001644741924979701,0.0,0.0,18.340444498242256,18.340444498242256,10.226078842828496
216.211.9.200,192.168.250.79,443,45346,2024-03-24 22:32:00.932584960,15.066955,2221718,147456.3373953131,2221718,147456.3373953131,27941.565508327796,167.15730767252683,1480.1585609593603,1506.0,1506,-6.504083020533081,-6.504083020533081,0.11293202774450348,2.828875271625994e-06,0.0016819260600947933,0.0001644741924979701,0.0,0.0,18.340444498242256,18.340444498242256,10.226078842828496,2.828875271625994e-06,0.0016819260600947933,0.0001644741924979701,0.0,0.0,18.340444498242256,18.340444498242256,10.226078842828496
216.211.9.200,192.168.250.79,443,45346,2024-03-24 22:32:00.932584960,15.066955,2221718,147456.3373953131,2221718,147456.3373953131,27941.565508327796,167.15730767252683,1480.1585609593603,1506.0,1506,-6.504083020533081,-6.504083020533081,0.11293202774450348,2.828875271625994e-06,0.0016819260600947933,0.0001644741924979701,0.0,0.0,18.340444498242256,18.340444498242256,10.226078842828496,2.828875271625994e-06,0.0016819260600947933,0.0001644741924979701,0.0,0.0,18.340444498242256,18.340444498242256,10.226078842828496
216.211.9.200,192.168.250.79,443,45346,2024-03-24 22:32:00.932584960,15.066955,2221718,147456.3373953131,2221718,147456.3373953131,27941.565508327796,167.15730767252683,1480.1585609593603,1506.0,1506,-6.504083020533081,-6.504083020533081,0.11293202774450348,2.828875271625994e-06,0.0016819260600947933,0.0001644741924979701,0.0,0.0,18.340444498242256,18.340444498242256,10.226078842828496,2.828875271625994e-06,0.0016819260600947933,0.0001644741924979701,0.0,0.0,18.340444498242256,18.340444498242256,10.226078842828496
216.211.9.200,192.168.250.79,443,45346,2024-03-24 22:32:00.932584960,15.066955,2221718,147456.3373953131,2221718,147456.3373953131,27941.565508327796,167.15730767252683,1480.1585609593603,1506.0,1506,-6.504083020533081,-6.504083020533081,0.11293202774450348,2.828875271625994e-06,0.0016819260600947933,0.0001644741924979701,0.0,0.0,18.340444498242256,18.340444498242256,10.226078842828496,2.828875271625994e-06,0.0016819260600947933,0.0001644741924979701,0.0,0.0,18.340444498242256,18.340444498242256,10.226078842828496
216.211.9.200,192.168.250.79,443,45346,2024-03-24 22:32:00.932584960,15.066955,2221718,147456.3373953131,2221718,147456.3373953131,27941.565508327796,167.15730767252683,1480.1585609593603,1506.0,1506,-6.504083020533081,-6.504083020533081,0.11293202774450348,2.828875271625994e-06,0.0016819260600947933,0.0001644741924979701,0.0,0.0,18.340444498242256,18.340444498242256,10.226078842828496,2.828875271625994e-06,0.0016819260600947933,0.0001644741924979701,0.0,0.0,18.340444498242256,18.340444498242256,10.226078842828496
216.211.9.200,192.168.250.79,443,45346,2024-03-24 22:32:00.932584960,15.066955,2221718,147456.3373953131,2221718,147456.3373953131,27941.565508327796,167.15730767252683,1480.1585609593603,1506.0,1506,-6.504083020533081,-6.504083020533081,0.11293202774450348,2.828875271625994e-06,0.0016819260600947933,0.0001644741924979701,0.0,0.0,18.340444498242256,18.340444498242256,10.226078842828496,2.828875271625994e-06,0.0016819260600947933,0.0001644741924979701,0.0,0.0,18.340444498242256,18.340444498242256,10.226078842828496
216.211.9.200,192.168.250.79,443,45346,2024-03-24 22:32:00.932584960,15.066955,2221718,147456.3373953131,2221718,147456.3373953131,27941.565508327796,167.15730767252683,1480.1585609593603,1506.0,1506,-6.504083020533081,-6.504083020533081,0.11293202774450348,2.828875271625994e-06,0.0016819260600947933,0.0001644741924979701,0.0,0.0,18.340444498242256,18.340444498242256,10.226078842828496,2.828875271625994e-06,0.0016819260600947933,0.0001644741924979701,0.0,0.0,18.340444498242256,18.340444498242256,10.226078842828496
216.211.9.200,192.168.250.79,443,45346,2024-03-24 22:32:00.932584960,15.066955,2221718,147456.3373953131,2221718,147456.3373953131,27941.565508327796,167.15730767252683,1480.1585609593603,1506.0,1506,-6.504083020533081,-6.504083020533081,0.11293202774450348,2.828875271625994e-06,0.0016819260600947933,0.0001644741924979701,0.0,0.0,18.340444498242256,18.340444498242256,10.226078842828496,2.828875271625994e-06,0.0016819260600947933,0.0001644741924979701,0.0,0.0,18.340444498242256,18.340444498242256,10.226078842828496
216.211.9.200,192.168.250.79,443,45346,2024-03-24 22:32:00.932584960,15.066955,2221718,147456.3373953131,2221718,147456.3373953131,27941.565508327796,167.15730767252683,1480.1585609593603,1506.0,1506,-6.504083020533081,-6.504083020533081,0.11293202774450348,2.828875271625994e-06,0.0016819260600947933,0.0001644741924979701,0.0,0.0,18.340444498242256,18.340444498242256,10.226078842828496,2.828875271625994e-06,0.0016819260600947933,0.0001644741924979701,0.0,0.0,18.340444498242256,18.340444498242256,10.226078842828496
216.211.9.200,192.168.250.79,443,45346,2024-03-24 22:32:00.932584960,15.066955,2221718,147456.3373953131,2221718,147456.3373953131,27941.565508327796,167.15730767252683,1480.1585609593603,1506.0,1506,-6.504083020533081,-6.504083020533081,0.11293202774450348,2.828875271625994e-06,0.0016819260600947933,0.0001644741924979701,0.0,0.0,18.340444498242256,18.340444498242256,10.226078842828496,2.828875271625994e-06,0.0016819260600947933,0.0001644741924979701,0.0,0.0,18.340444498242256,18.340444498242256,10.226078842828496
216.211.9.200,192.168.250.79,443,45346,2024-03-24 22:32:00.932584960,15.066955,2221718,147456.3373953131,2221718,147456.3373953131,27941.565508327796,167.15730767252683,1480.1585609593603,1506.0,1506,-6.504083020533081,-6.504083020533081,0.11293202774450348,2.828875271625994e-06,0.0016819260600947933,0.0001644741924979701,0.0,0.0,18.340444498242256,18.340444498242256,10.226078842828496,2.828875271625994e-06,0.0016819260600947933,0.0001644741924979701,0.0,0.0,18.340444498242256,18.340444498242256,10.226078842828496
216.211.9.200,192.168.250.79,443,45346,2024-03-24 22:32:00.932584960,15.066955,2221718,147456.3373953131,2221718,147456.3373953131,27941.565508327796,167.15730767252683,1480.1585609593603,1506.0,1506,-6.504083020533081,-6.504083020533081,0.11293202774450348,2.828875271625994e-06,0.0016819260600947933,0.0001644741924979701,0.0,0.0,18.340444498242256,18.340444498242256,10.226078842828496,2.828875271625994e-06,0.0016819260600947933,0.0001644741924979701,0.0,0.0,18.340444498242256,18.340444498242256,10.226078842828496
216.211.9.200,192.168.250.79,443,45346,2024-03-24 22:32:00.932584960,15.066955,2221718,147456.3373953131,2221718,147456.3373953131,27941.565508327796,167.15730767252683,1480.1585609593603,1506.0,1506,-6.504083020533081,-6.504083020533081,0.11293202774450348,2.828875271625994e-06,0.0016819260600947933,0.0001644741924979701,0.0,0.0,18.340444498242256,18.340444498242256,10.226078842828496,2.828875271625994e-06,0.0016819260600947933,0.0001644741924979701,0.0,0.0,18.340444498242256,18.340444498242256,10.226078842828496
216.211.9.200,192.168.250.79,443,45346,2024-03-24 22:32:00.932584960,15.066955,2221718,147456.3373953131,2221718,147456.3373953131,27941.565508327796,167.15730767252683,1480.1585609593603,1506.0,1506,-6.504083020533081,-6.504083020533081,0.11293202774450348,2.828875271625994e-06,0.0016819260600947933,0.0001644741924979701,0.0,0.0,18.340444498242256,18.340444498242256,10.226078842828496,2.828875271625994e-06,0.0016819260600947933,0.0001644741924979701,0.0,0.0,18.340444498242256,18.340444498242256,10.226078842828496
216.211.9.200,192.168.250.79,443,45346,2024-03-24 22:32:00.932584960,15.066955,2221718,147456.3373953131,2221718,147456.3373953131,27941.565508327796,167.15730767252683,1480.1585609593603,1506.0,1506,-6.504083020533081,-6.504083020533081,0.11293202774450348,2.828875271625994e-06,0.0016819260600947933,0.0001644741924979701,0.0,0.0,18.340444498242256,18.340444498242256,10.226078842828496,2.828875271625994e-06,0.0016819260600947933,0.0001644741924979701,0.0,0.0,18.340444498242256,18.340444498242256,10.226078842828496
216.211.9.200,192.168.250.79,443,45346,2024-03-24 22:32:00.932584960,15.066955,2221718,147456.3373953131,2221718,147456.3373953131,27941.565508327796,167.15730767252683,1480.1585609593603,1506.0,1506,-6.504083020533081,-6.504083020533081,0.11293202774450348,2.828875271625994e-06,0.0016819260600947933,0.0001644741924979701,0.0,0.0,18.340444498242256,18.340444498242256,10.226078842828496,2.828875271625994e-06,0.0016819260600947933,0.0001644741924979701,0.0,0.0,18.340444498242256,18.340444498242256,10.226078842828496
216.211.9.200,192.168.250.79,443,45346,2024-03-24 22:32:00.932584960,15.066955,2221718,147456.3373953131,2221718,147456.3373953131,27941.565508327796,167.15730767252683,1480.1585609593603,1506.0,1506,-6.504083020533081,-6.504083020533081,0.11293202774450348,2.828875271625994e-06,0.0016819260600947933,0.0001644741924979701,0.0,0.0,18.340444498242256,18.340444498242256,10.226078842828496,2.828875271625994e-06,0.0016819260600947933,0.0001644741924979701,0.0,0.0,18.340444498242256,18.340444498242256,10.226078842828496
216.211.9.200,192.168.250.79,443,45346,2024-03-24 22:32:00.932584960,15.066955,2221718,147456.3373953131,2221718,147456.3373953131,27941.565508327796,167.15730767252683,1480.1585609593603,1506.0,1506,-6.504083020533081,-6.504083020533081,0.11293202774450348,2.828875271625994e-06,0.0016819260600947933,0.0001644741924979701,0.0,0.0,18.340444498242256,18.340444498242256,10.226078842828496,2.828875271625994e-06,0.0016819260600947933,0.0001644741924979701,0.0,0.0,18.340444498242256,18.340444498242256,10.226078842828496
